aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.604041,0.133330,0.618581,0.000015,0.990295,0.000379,0.005885,0.463721,0.129825,0.481551,0.000015,0.747314,0.000359,0.005968,0.491111,0.203801,0.531719,0.000000,0.999985,0.000885,0.012101,0.503971,0.033753,0.505100,0.466614,0.657669,0.000024,0.000731,0.501639,0.039986,0.503231,0.305283,0.609634,0.000034,0.000248,0.499787,0.018331,0.500123,0.449524,0.549484,0.000007,0.000044
0.571096,0.170569,0.596024,0.000015,0.782349,0.000616,0.009310,0.409359,0.137928,0.431971,0.000015,0.521042,0.000403,0.007072,0.494496,0.212836,0.538355,0.000000,0.999985,0.000959,0.012566,0.499852,0.048668,0.502216,0.441650,0.686523,0.000050,0.001956,0.496079,0.041573,0.497818,0.313324,0.528809,0.000037,0.000704,0.504780,0.015509,0.505018,0.475403,0.567947,0.000005,0.000080
0.571993,0.156453,0.593004,0.000015,0.754578,0.000516,0.007655,0.421091,0.127982,0.440111,0.000015,0.564331,0.000345,0.004342,0.461286,0.212335,0.507810,0.000000,0.999985,0.000951,0.012145,0.499781,0.055619,0.502866,0.432617,0.670410,0.000065,0.002892,0.497920,0.043588,0.499824,0.305176,0.540878,0.000040,0.000699,0.504540,0.017388,0.504840,0.467438,0.562180,0.000006,0.000148
0.568272,0.141144,0.585538,0.000015,0.710068,0.000424,0.006625,0.432451,0.140712,0.454768,0.000015,0.581894,0.000421,0.007422,0.445147,0.213444,0.493674,0.000000,0.999985,0.000970,0.015718,0.499471,0.052345,0.502207,0.429687,0.662552,0.000058,0.002268,0.498695,0.043324,0.500573,0.302216,0.568817,0.000040,0.000671,0.504532,0.013195,0.504704,0.475082,0.548431,0.000004,0.000055
0.591359,0.128425,0.605143,0.006790,0.859360,0.000348,0.004777,0.433667,0.150300,0.458974,0.000015,0.610214,0.000477,0.007880,0.480055,0.209334,0.523712,0.000000,0.999985,0.000925,0.013119,0.499195,0.047879,0.501486,0.438461,0.644470,0.000048,0.001958,0.495842,0.029670,0.496729,0.396194,0.525803,0.000019,0.000563,0.503264,0.023452,0.503811,0.453156,0.561371,0.000012,0.000310
0.584643,0.128796,0.598661,0.003204,0.705643,0.000350,0.005653,0.450942,0.124625,0.467846,0.000015,0.657455,0.000327,0.004193,0.457136,0.207355,0.501966,0.000000,0.999985,0.000906,0.012906,0.496589,0.042154,0.498375,0.451752,0.618576,0.000037,0.001701,0.496231,0.031020,0.497199,0.335327,0.521469,0.000020,0.000388,0.499715,0.011188,0.499840,0.474594,0.531311,0.000003,0.000094
0.591992,0.105191,0.601265,0.144043,0.731644,0.000233,0.003656,0.454674,0.130733,0.473096,0.000015,0.729538,0.000360,0.004689,0.479017,0.203888,0.520604,0.000000,0.999985,0.000876,0.010988,0.500052,0.041451,0.501768,0.439163,0.627396,0.000036,0.001759,0.498758,0.035228,0.500001,0.324707,0.569885,0.000026,0.000514,0.501366,0.021413,0.501823,0.442596,0.595200,0.000010,0.000109
0.601369,0.096255,0.609023,0.263199,0.770996,0.000197,0.003728,0.432413,0.138838,0.454155,0.000015,0.574081,0.000410,0.008533,0.467766,0.194028,0.506411,0.000000,0.999985,0.000801,0.014083,0.503244,0.041837,0.504980,0.452026,0.606186,0.000037,0.001592,0.498725,0.026932,0.499451,0.389862,0.536957,0.000015,0.000334,0.501916,0.018110,0.502243,0.474380,0.571259,0.000007,0.000185
0.586064,0.089424,0.592847,0.290909,0.724625,0.000170,0.003543,0.441364,0.141547,0.463506,0.000015,0.616928,0.000427,0.007804,0.478823,0.171366,0.508564,0.235870,0.999985,0.000625,0.014947,0.498462,0.035689,0.499738,0.447815,0.615570,0.000027,0.001055,0.497228,0.027117,0.497966,0.428162,0.534988,0.000016,0.000606,0.503823,0.020133,0.504225,0.480453,0.570038,0.000009,0.000182
0.601211,0.091671,0.608160,0.232971,0.768448,0.000181,0.003571,0.433846,0.124684,0.451407,0.000015,0.577652,0.000334,0.005649,0.467321,0.177481,0.499889,0.000000,0.944107,0.000677,0.017216,0.499816,0.038895,0.501327,0.447266,0.650864,0.000033,0.000988,0.499806,0.030249,0.500721,0.368729,0.537659,0.000020,0.000582,0.502110,0.019988,0.502507,0.466782,0.572052,0.000009,0.000137
