aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.591238,0.145766,0.608942,0.000015,1.000000,0.000458,0.003460,0.521127,0.158394,0.544667,0.000015,1.000000,0.000541,0.005584,0.491948,0.183142,0.524932,0.000000,0.999985,0.000724,0.009393,0.503905,0.024669,0.504509,0.378128,0.571320,0.000013,0.000146,0.500379,0.025573,0.501032,0.380081,0.563004,0.000014,0.000139,0.500513,0.032034,0.501537,0.364899,0.594376,0.000022,0.000232
0.579322,0.157327,0.600304,0.000015,0.969147,0.000526,0.004841,0.536032,0.166508,0.561298,0.000015,1.000000,0.000590,0.006216,0.487425,0.172002,0.516883,0.000000,0.999985,0.000629,0.008926,0.499165,0.028823,0.499996,0.332428,0.592499,0.000018,0.000109,0.501216,0.037561,0.502622,0.318588,0.678116,0.000030,0.000194,0.500469,0.033493,0.501588,0.389999,0.674347,0.000024,0.000218
0.588920,0.130747,0.603259,0.025162,1.000000,0.000369,0.003310,0.521560,0.140619,0.540184,0.000015,0.936981,0.000427,0.004752,0.504429,0.156802,0.528238,0.024277,0.999985,0.000531,0.006370,0.499504,0.036964,0.500870,0.289902,0.636124,0.000030,0.000193,0.501322,0.038326,0.502785,0.319092,0.710251,0.000032,0.000109,0.498502,0.028405,0.499311,0.425613,0.641830,0.000017,0.000166
0.582442,0.138933,0.598783,0.032654,0.965149,0.000407,0.005396,0.528765,0.112972,0.540699,0.001587,0.800491,0.000269,0.002985,0.504030,0.144863,0.524434,0.140625,0.999985,0.000443,0.005398,0.499315,0.030457,0.500243,0.380478,0.651367,0.000020,0.000111,0.499676,0.031334,0.500657,0.379913,0.660965,0.000021,0.000108,0.499785,0.032850,0.500863,0.403580,0.682251,0.000023,0.000194
0.589297,0.136942,0.604999,0.028427,0.984695,0.000406,0.003903,0.521059,0.134542,0.538149,0.000015,1.000000,0.000391,0.004298,0.509398,0.159631,0.533824,0.015884,0.999985,0.000551,0.006323,0.499189,0.027958,0.499972,0.356934,0.644577,0.000017,0.000076,0.500730,0.030771,0.501675,0.376434,0.630417,0.000020,0.000079,0.500405,0.036261,0.501717,0.393845,0.717026,0.000028,0.000168
0.575598,0.148907,0.594547,0.000015,0.881210,0.000469,0.005557,0.519928,0.126808,0.535168,0.000015,1.000000,0.000340,0.002717,0.508656,0.151017,0.530600,0.163620,0.999985,0.000482,0.007896,0.500275,0.024997,0.500899,0.394180,0.633774,0.000013,0.000091,0.500260,0.032580,0.501319,0.372681,0.657852,0.000022,0.000214,0.499525,0.035379,0.500776,0.412399,0.717316,0.000026,0.000179
0.585502,0.139227,0.601828,0.000015,0.951385,0.000416,0.004039,0.520007,0.121004,0.533901,0.000015,1.000000,0.000314,0.002374,0.520451,0.146120,0.540574,0.228333,0.999985,0.000458,0.006706,0.499412,0.023831,0.499980,0.415695,0.621170,0.000012,0.000075,0.500277,0.027492,0.501032,0.400787,0.631744,0.000016,0.000152,0.500063,0.034761,0.501269,0.402985,0.707031,0.000026,0.000159
0.581525,0.138303,0.597745,0.000015,0.970245,0.000410,0.005101,0.516876,0.139122,0.535271,0.000015,1.000000,0.000415,0.003053,0.519403,0.164194,0.544738,0.043961,0.999985,0.000578,0.008841,0.497500,0.033346,0.498617,0.313995,0.635681,0.000024,0.000140,0.500191,0.030083,0.501095,0.386902,0.628952,0.000019,0.000226,0.499049,0.031531,0.500044,0.392685,0.676926,0.000021,0.000142
0.585436,0.120724,0.597753,0.014328,0.971405,0.000310,0.004166,0.518327,0.109531,0.529773,0.000015,1.000000,0.000255,0.001256,0.511011,0.145933,0.531440,0.235153,0.999985,0.000453,0.008158,0.500464,0.022055,0.500950,0.415787,0.618546,0.000010,0.000055,0.500813,0.027608,0.501574,0.398529,0.603882,0.000016,0.000215,0.498116,0.029513,0.498989,0.396957,0.698181,0.000019,0.000092
0.580390,0.148169,0.599005,0.000015,0.979111,0.000474,0.005685,0.526883,0.119676,0.540304,0.000015,1.000000,0.000309,0.002910,0.509836,0.150116,0.531477,0.166824,0.999985,0.000487,0.007114,0.499477,0.024676,0.500086,0.404938,0.647125,0.000013,0.000070,0.498807,0.031637,0.499809,0.393234,0.649414,0.000022,0.000168,0.500447,0.040731,0.502102,0.381042,0.736618,0.000036,0.000186
