aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.514146,0.193886,0.549489,0.000015,0.777405,0.000802,0.021643,0.454718,0.146494,0.477733,0.000015,0.783997,0.000458,0.007270,0.494610,0.226083,0.543831,0.000000,0.999985,0.001091,0.016966,0.497358,0.043734,0.499277,0.424911,0.646011,0.000041,0.001274,0.502393,0.059887,0.505949,0.300186,0.580673,0.000077,0.002194,0.509698,0.031150,0.510649,0.476532,0.607727,0.000021,0.000581
0.487067,0.167988,0.515222,0.000015,0.697861,0.000607,0.023757,0.437121,0.129484,0.455895,0.000015,0.625870,0.000360,0.008483,0.473167,0.237694,0.529514,0.000000,0.999985,0.001215,0.030686,0.494331,0.053077,0.497172,0.429687,0.616165,0.000061,0.003016,0.498738,0.056123,0.501886,0.366440,0.570953,0.000068,0.002806,0.505792,0.026145,0.506468,0.468521,0.575546,0.000015,0.000552
0.486078,0.176495,0.517129,0.000015,0.686584,0.000675,0.024940,0.448629,0.113627,0.462795,0.000015,0.619614,0.000280,0.003099,0.481528,0.227101,0.532394,0.000000,0.999985,0.001118,0.028255,0.496853,0.059048,0.500349,0.384048,0.634857,0.000076,0.002922,0.498901,0.073570,0.504297,0.161682,0.619034,0.000117,0.002882,0.498612,0.038445,0.500092,0.445206,0.667938,0.000032,0.000828
0.517864,0.141111,0.536745,0.127502,0.727158,0.000422,0.015893,0.455565,0.143656,0.477679,0.000015,0.772675,0.000437,0.005263,0.493020,0.235952,0.546573,0.018692,0.999985,0.001180,0.028535,0.500669,0.049180,0.503079,0.437363,0.628815,0.000051,0.002502,0.503320,0.037826,0.504739,0.395569,0.555298,0.000030,0.001308,0.504568,0.029509,0.505430,0.466583,0.583878,0.000018,0.000749
0.518991,0.135481,0.536383,0.191483,0.740936,0.000392,0.019517,0.444954,0.095501,0.455087,0.066818,0.569107,0.000195,0.004137,0.503509,0.200451,0.541943,0.208664,0.999985,0.000858,0.025216,0.503676,0.043266,0.505531,0.449844,0.596970,0.000040,0.001903,0.505266,0.042762,0.507072,0.392456,0.577789,0.000039,0.001804,0.500180,0.035750,0.501456,0.419113,0.564774,0.000027,0.001311
0.528025,0.137747,0.545696,0.119904,0.700470,0.000402,0.014702,0.444498,0.117294,0.459713,0.007721,0.600937,0.000292,0.004779,0.510461,0.199147,0.547932,0.079132,0.999985,0.000841,0.019639,0.498599,0.049452,0.501046,0.422104,0.630325,0.000052,0.002631,0.504136,0.038201,0.505582,0.395737,0.566895,0.000031,0.001205,0.505047,0.028373,0.505843,0.443298,0.562012,0.000017,0.000613
0.531555,0.107668,0.542350,0.270905,0.693893,0.000247,0.012201,0.474418,0.112268,0.487520,0.018723,0.637421,0.000269,0.004690,0.537181,0.184246,0.567900,0.296814,0.999985,0.000724,0.023485,0.503575,0.042789,0.505390,0.452347,0.595428,0.000039,0.001932,0.506281,0.032298,0.507310,0.435028,0.552429,0.000022,0.001054,0.503336,0.022123,0.503822,0.465118,0.550568,0.000010,0.000346
0.533917,0.106535,0.544442,0.201462,0.665207,0.000242,0.010855,0.479306,0.103018,0.490252,0.033508,0.611984,0.000227,0.003504,0.535098,0.176816,0.563555,0.306458,0.999985,0.000667,0.023965,0.500178,0.044394,0.502144,0.431259,0.643845,0.000042,0.001807,0.505039,0.034658,0.506227,0.402420,0.562866,0.000026,0.001242,0.504518,0.023172,0.505050,0.446533,0.570282,0.000011,0.000311
0.516333,0.142546,0.535648,0.092117,0.678253,0.000437,0.016621,0.472661,0.102203,0.483585,0.000015,0.616577,0.000225,0.003337,0.518801,0.189508,0.552329,0.144409,0.999985,0.000772,0.020621,0.496873,0.045284,0.498932,0.404541,0.634125,0.000044,0.001701,0.503693,0.044242,0.505632,0.336380,0.567200,0.000042,0.001564,0.503044,0.021846,0.503518,0.439743,0.590836,0.000010,0.000216
0.527082,0.118642,0.540270,0.174957,0.662994,0.000303,0.013379,0.437858,0.121265,0.454340,0.000015,0.562302,0.000316,0.009954,0.492125,0.205933,0.533475,0.106674,0.999985,0.000912,0.020012,0.494355,0.057811,0.497724,0.405670,0.648331,0.000072,0.003703,0.501558,0.036837,0.502909,0.396790,0.556152,0.000029,0.001239,0.499825,0.021231,0.500275,0.456680,0.575714,0.000010,0.000345
