aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.527275,0.048050,0.529460,0.411575,0.601578,0.000049,0.001718,0.429142,0.047605,0.431774,0.189850,0.532715,0.000049,0.001138,0.573389,0.067957,0.577402,0.406296,0.708740,0.000099,0.003296,0.512781,0.040985,0.514416,0.376602,0.571060,0.000036,0.000948,0.498778,0.043352,0.500659,0.352631,0.564316,0.000040,0.000792,0.524654,0.039980,0.526175,0.428513,0.614853,0.000034,0.000647
0.602674,0.018451,0.602956,0.569168,0.651108,0.000007,0.000286,0.453787,0.057626,0.457431,0.267685,0.690445,0.000071,0.002004,0.497965,0.038474,0.499449,0.378998,0.580612,0.000032,0.001076,0.475410,0.026410,0.476143,0.386917,0.538025,0.000015,0.000167,0.507850,0.017923,0.508166,0.467712,0.548172,0.000007,0.000141,0.504187,0.025342,0.504824,0.431870,0.558914,0.000014,0.000311
0.581243,0.068350,0.585248,0.340271,0.701599,0.000099,0.001259,0.457121,0.136815,0.477157,0.143997,1.000000,0.000396,0.004180,0.474328,0.030862,0.475331,0.371078,0.565598,0.000020,0.000289,0.495940,0.014766,0.496160,0.438934,0.531128,0.000005,0.000055,0.499541,0.012480,0.499697,0.474380,0.535934,0.000003,0.000046,0.505654,0.053953,0.508524,0.436981,0.742081,0.000062,0.000883
0.548117,0.054140,0.550784,0.425827,0.623444,0.000063,0.001899,0.503043,0.070346,0.507937,0.371109,0.614487,0.000106,0.002859,0.386646,0.040102,0.388720,0.287033,0.463882,0.000034,0.000852,0.497004,0.020148,0.497412,0.441101,0.540726,0.000009,0.000154,0.508317,0.016878,0.508597,0.477936,0.547928,0.000006,0.000147,0.498445,0.037732,0.499871,0.400925,0.583344,0.000030,0.001115
0.495448,0.040837,0.497128,0.403275,0.571121,0.000036,0.000906,0.401413,0.041275,0.403529,0.239059,0.504608,0.000037,0.000297,0.490134,0.088413,0.498044,0.276520,0.691162,0.000168,0.004083,0.478153,0.050467,0.480809,0.189972,0.557526,0.000055,0.000435,0.493298,0.030510,0.494240,0.395386,0.545944,0.000020,0.000550,0.503639,0.017196,0.503932,0.470291,0.572388,0.000006,0.000075
0.526601,0.034339,0.527720,0.438644,0.589645,0.000025,0.000398,0.399486,0.043993,0.401901,0.312775,0.511475,0.000041,0.000928,0.527169,0.052521,0.529779,0.387512,0.666489,0.000059,0.001093,0.496348,0.037001,0.497726,0.400284,0.564514,0.000029,0.000779,0.514441,0.046337,0.516523,0.424454,0.625946,0.000046,0.001007,0.506877,0.034991,0.508084,0.403946,0.572769,0.000026,0.000680
0.503383,0.057939,0.506707,0.370529,0.595917,0.000073,0.003073,0.423188,0.067027,0.428463,0.289673,0.651505,0.000097,0.001995,0.555555,0.064281,0.559262,0.396988,0.672852,0.000089,0.002630,0.506113,0.043583,0.507986,0.403412,0.587891,0.000041,0.000988,0.495423,0.039915,0.497029,0.415375,0.597443,0.000034,0.000753,0.489854,0.072283,0.495159,0.279327,0.649597,0.000113,0.002949
0.419012,0.038970,0.420820,0.267593,0.494553,0.000032,0.000362,0.401980,0.107660,0.416147,0.045959,0.657501,0.000245,0.007478,0.556682,0.066287,0.560614,0.391846,0.768402,0.000093,0.002246,0.497569,0.035121,0.498807,0.387390,0.601196,0.000026,0.000709,0.495767,0.046671,0.497959,0.391266,0.622986,0.000046,0.001194,0.499397,0.067433,0.503929,0.326889,0.693329,0.000096,0.002915
0.422792,0.071175,0.428741,0.218857,0.538177,0.000109,0.002387,0.419911,0.042972,0.422104,0.335526,0.508377,0.000040,0.000670,0.560637,0.042934,0.562279,0.491013,0.648788,0.000040,0.000872,0.491053,0.021325,0.491516,0.430771,0.529099,0.000010,0.000147,0.488697,0.062998,0.492741,0.335968,0.612671,0.000085,0.002606,0.529951,0.071193,0.534711,0.395905,0.653427,0.000109,0.003763
0.420085,0.052793,0.423389,0.275467,0.514984,0.000060,0.001504,0.395386,0.066757,0.400982,0.234329,0.520966,0.000095,0.001975,0.527619,0.067001,0.531856,0.384033,0.647018,0.000096,0.001720,0.490688,0.029071,0.491548,0.384796,0.535660,0.000018,0.000225,0.565757,0.056261,0.568548,0.467575,0.677124,0.000068,0.001933,0.482938,0.074149,0.488597,0.318787,0.625946,0.000118,0.003199
