aX_mean,aX_stddev,aX_rms,aX_min,aX_max,aX_psdMean,aX_psdMax,aY_mean,aY_stddev,aY_rms,aY_min,aY_max,aY_psdMean,aY_psdMax,aZ_mean,aZ_stddev,aZ_rms,aZ_min,aZ_max,aZ_psdMean,aZ_psdMax,gX_mean,gX_stddev,gX_rms,gX_min,gX_max,gX_psdMean,gX_psdMax,gY_mean,gY_stddev,gY_rms,gY_min,gY_max,gY_psdMean,gY_psdMax,gZ_mean,gZ_stddev,gZ_rms,gZ_min,gZ_max,gZ_psdMean,gZ_psdMax
0.586234,0.091628,0.593351,0.345062,0.778976,0.000180,0.004778,0.456486,0.097535,0.466789,0.261337,0.703888,0.000204,0.006386,0.585569,0.145981,0.603491,0.328979,0.999985,0.000457,0.011236,0.497070,0.040301,0.498701,0.433243,0.595032,0.000035,0.001407,0.507909,0.033676,0.509024,0.456284,0.598038,0.000024,0.000903,0.502723,0.011873,0.502864,0.485504,0.535339,0.000003,0.000073
0.574789,0.071586,0.579229,0.411392,0.702667,0.000108,0.002740,0.436405,0.096515,0.446950,0.257095,0.644684,0.000196,0.007272,0.587265,0.112844,0.598008,0.333679,0.927032,0.000269,0.006679,0.497829,0.036996,0.499202,0.449646,0.572586,0.000029,0.001496,0.500590,0.027739,0.501358,0.448105,0.572662,0.000016,0.000510,0.502058,0.013646,0.502244,0.481125,0.543579,0.000004,0.000115
0.579198,0.058396,0.582135,0.415741,0.652618,0.000072,0.001744,0.433748,0.088215,0.442627,0.223816,0.625931,0.000165,0.005087,0.583904,0.096374,0.591804,0.415756,0.886688,0.000196,0.005955,0.500690,0.040249,0.502306,0.446259,0.586426,0.000034,0.001810,0.500126,0.021880,0.500604,0.473862,0.556870,0.000010,0.000286,0.503292,0.011246,0.503418,0.488739,0.538742,0.000003,0.000095
0.581475,0.059542,0.584516,0.410431,0.659256,0.000076,0.001816,0.429720,0.085073,0.438060,0.226044,0.616501,0.000154,0.005008,0.565332,0.085019,0.571689,0.407425,0.750061,0.000154,0.005812,0.500687,0.041567,0.502409,0.435181,0.578171,0.000037,0.001989,0.499541,0.025764,0.500205,0.453644,0.559906,0.000014,0.000390,0.503298,0.010971,0.503417,0.488434,0.539429,0.000003,0.000062
0.609529,0.076008,0.614250,0.450195,0.805557,0.000122,0.002843,0.453984,0.057331,0.457590,0.300491,0.531052,0.000070,0.001655,0.546149,0.082575,0.552356,0.398178,0.729904,0.000144,0.007485,0.497386,0.039332,0.498939,0.445480,0.592545,0.000033,0.001600,0.505516,0.018846,0.505867,0.473801,0.550888,0.000008,0.000218,0.500956,0.012385,0.501109,0.472290,0.516190,0.000003,0.000135
0.601309,0.100132,0.609589,0.333237,0.833893,0.000212,0.003806,0.447342,0.045111,0.449611,0.323822,0.554138,0.000043,0.001141,0.521424,0.120010,0.535056,0.337021,0.999985,0.000304,0.007286,0.504836,0.060068,0.508397,0.428680,0.727844,0.000076,0.003093,0.506398,0.031620,0.507384,0.415329,0.605743,0.000021,0.000407,0.505287,0.024390,0.505875,0.414429,0.571198,0.000013,0.000415
0.596960,0.076570,0.601851,0.340622,0.730118,0.000125,0.001837,0.430263,0.112577,0.444747,0.086349,0.666641,0.000270,0.005290,0.501873,0.105095,0.512759,0.391830,0.982117,0.000235,0.004325,0.502596,0.049419,0.505019,0.428116,0.606247,0.000052,0.002503,0.500817,0.033307,0.501923,0.402908,0.554123,0.000024,0.000542,0.507431,0.022227,0.507918,0.459229,0.559906,0.000011,0.000395
0.595764,0.072319,0.600138,0.412781,0.724365,0.000112,0.002896,0.431249,0.105388,0.443940,0.149750,0.633591,0.000238,0.007993,0.537808,0.091191,0.545484,0.409882,0.834366,0.000179,0.006468,0.497148,0.051631,0.499822,0.436478,0.599045,0.000057,0.003107,0.503944,0.020031,0.504342,0.436203,0.548035,0.000009,0.000274,0.509986,0.012564,0.510141,0.485611,0.540131,0.000003,0.000071
0.600962,0.098199,0.608932,0.391174,0.925354,0.000204,0.003486,0.455872,0.116072,0.470417,0.082321,0.668259,0.000285,0.005751,0.574460,0.126738,0.588275,0.383606,0.973785,0.000339,0.007400,0.495061,0.057531,0.498393,0.366165,0.611618,0.000070,0.002657,0.498915,0.019954,0.499314,0.445374,0.547531,0.000008,0.000177,0.502376,0.022491,0.502879,0.444412,0.563904,0.000011,0.000408
0.589197,0.070308,0.593377,0.410690,0.741806,0.000106,0.002360,0.430496,0.120593,0.447068,0.053558,0.666412,0.000312,0.007564,0.579814,0.120002,0.592102,0.425858,0.999985,0.000309,0.008252,0.501994,0.060065,0.505574,0.422791,0.629044,0.000077,0.003525,0.501315,0.026455,0.502012,0.429520,0.571426,0.000015,0.000397,0.504742,0.011865,0.504881,0.468964,0.541809,0.000003,0.000037
0.582999,0.054635,0.585554,0.478622,0.701996,0.000064,0.001892,0.427286,0.095839,0.437903,0.145386,0.574493,0.000196,0.006971,0.581477,0.089555,0.588333,0.428177,0.876862,0.000171,0.005498,0.499635,0.052616,0.502398,0.430145,0.605423,0.000059,0.003104,0.500354,0.027261,0.501096,0.426865,0.554245,0.000016,0.000559,0.502827,0.008456,0.502898,0.486740,0.524918,0.000002,0.000042
0.577551,0.063113,0.580989,0.425476,0.704742,0.000084,0.002520,0.428230,0.108573,0.441780,0.172287,0.619751,0.000249,0.009138,0.589533,0.106843,0.599137,0.448013,0.981216,0.000241,0.005984,0.501410,0.056995,0.504639,0.401535,0.604767,0.000069,0.003240,0.500270,0.023627,0.500828,0.460846,0.567947,0.000012,0.000402,0.504864,0.011588,0.504997,0.472260,0.528381,0.000003,0.000069
0.570253,0.065362,0.573987,0.396851,0.820114,0.000091,0.002104,0.426335,0.107980,0.439797,0.111633,0.639648,0.000248,0.009729,0.591121,0.091804,0.598207,0.385788,0.904495,0.000179,0.003892,0.497221,0.050782,0.499807,0.430191,0.596085,0.000055,0.002826,0.501094,0.019048,0.501456,0.472504,0.544449,0.000008,0.000211,0.502047,0.014071,0.502244,0.479050,0.548355,0.000004,0.000074
0.586395,0.071575,0.590747,0.343048,0.773468,0.000110,0.002625,0.427519,0.104399,0.440082,0.131775,0.602814,0.000233,0.006621,0.544327,0.114362,0.556211,0.370102,0.999985,0.000280,0.005679,0.500657,0.058228,0.504032,0.434280,0.642029,0.000073,0.003349,0.505393,0.019561,0.505771,0.462677,0.559540,0.000008,0.000149,0.510837,0.012268,0.510984,0.471161,0.541229,0.000003,0.000042
0.594921,0.118211,0.606551,0.205933,0.889526,0.000297,0.004014,0.447025,0.090841,0.456162,0.157928,0.700912,0.000175,0.002981,0.534145,0.127751,0.549210,0.351059,0.999985,0.000347,0.006117,0.507874,0.074619,0.513326,0.449265,0.840897,0.000118,0.003272,0.498772,0.035171,0.500010,0.338043,0.615036,0.000026,0.000258,0.508917,0.020776,0.509341,0.433533,0.540421,0.000009,0.000242
0.610952,0.097395,0.618666,0.304077,0.900497,0.000205,0.002877,0.455378,0.106770,0.467728,0.108826,0.661911,0.000246,0.005660,0.541725,0.080414,0.547661,0.451965,0.887772,0.000140,0.002652,0.503908,0.049014,0.506286,0.448441,0.622269,0.000052,0.002356,0.496581,0.014724,0.496800,0.456970,0.545395,0.000005,0.000070,0.508412,0.024656,0.509009,0.427612,0.550110,0.000013,0.000402
0.598485,0.098060,0.606465,0.263901,0.741302,0.000203,0.002914,0.452567,0.084489,0.460386,0.267471,0.676270,0.000151,0.003017,0.525180,0.108276,0.536226,0.362747,0.999985,0.000247,0.002967,0.501527,0.050691,0.504082,0.429962,0.647324,0.000054,0.002331,0.499641,0.026187,0.500327,0.419174,0.552933,0.000014,0.000196,0.506489,0.029037,0.507321,0.439896,0.550674,0.000018,0.000662
0.607866,0.114756,0.618603,0.321457,0.940659,0.000285,0.003268,0.475291,0.055697,0.478543,0.382416,0.636978,0.000067,0.001538,0.541177,0.073298,0.546118,0.439941,0.907806,0.000116,0.001390,0.505035,0.048394,0.507349,0.459259,0.691940,0.000051,0.001588,0.497321,0.020768,0.497755,0.410522,0.569611,0.000009,0.000114,0.500901,0.038736,0.502397,0.335785,0.549454,0.000032,0.000800
0.612125,0.107180,0.621437,0.316986,0.900665,0.000244,0.003160,0.469007,0.082295,0.476172,0.181641,0.704575,0.000144,0.002759,0.531389,0.103026,0.541285,0.436493,0.999985,0.000226,0.003501,0.495263,0.043022,0.497128,0.429764,0.598343,0.000039,0.001841,0.504867,0.012343,0.505017,0.484467,0.543243,0.000003,0.000073,0.506950,0.026244,0.507629,0.387924,0.547485,0.000015,0.000424
